                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.711,                  2.636,                 1.4648,                0.61795,                0.52847,                0.64612,                0.36004,                 1.4463,                 1.7051,                 1.1357,               0.000325,               0.000325,               0.000325
                      2,                 1.4155,                 1.3544,                 1.2141,                0.65612,                0.55947,                0.58956,                0.35065,                 1.4354,                 1.5734,                 1.1807,              0.0006461,              0.0006461,              0.0006461
                      3,                 1.3421,                 1.1421,                 1.1953,                 0.4978,                0.53228,                0.49255,                0.27732,                 1.6719,                 1.9654,                 1.3386,              0.0009505,              0.0009505,              0.0009505
                      4,                 1.3299,                 1.1143,                 1.2051,                0.29708,                0.44001,                0.42716,                0.22957,                 1.8041,                 1.9463,                 1.4541,              0.0011572,              0.0011572,              0.0011572
                      5,                 1.3905,                 1.1121,                 1.2246,                0.60553,                0.50305,                0.47634,                0.27861,                 1.5954,                 1.9146,                 1.3632,              0.0011572,              0.0011572,              0.0011572
                      6,                 1.3237,                 1.0648,                    1.2,                0.43051,                0.70794,                0.63004,                0.33287,                   1.51,                 1.6671,                 1.3164,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.2739,                0.97331,                 1.1525,                0.66707,                0.66825,                0.70919,                0.40515,                 1.3658,                 1.3579,                 1.2185,              0.0010953,              0.0010953,              0.0010953
                      8,                 1.2755,                0.94083,                 1.1574,                0.59478,                0.55317,                0.61364,                 0.3443,                 1.6129,                  1.338,                 1.3033,              0.0010644,              0.0010644,              0.0010644
                      9,                 1.2298,                0.92617,                 1.1568,                0.78597,                0.63492,                0.77183,                0.47214,                 1.5345,                 1.1406,                 1.2495,              0.0010334,              0.0010334,              0.0010334
                     10,                 1.2068,                0.89989,                  1.129,                0.55415,                0.81667,                0.76334,                0.47002,                 1.3441,                 1.1847,                 1.1865,              0.0010025,              0.0010025,              0.0010025
                     11,                 1.2138,                0.85869,                  1.136,                0.68541,                0.65476,                0.77127,                0.44247,                 1.5028,                 1.2185,                 1.2366,             0.00097156,             0.00097156,             0.00097156
                     12,                  1.223,                0.85429,                  1.145,                0.73066,                0.76187,                0.80447,                0.47607,                 1.5552,                 1.0276,                 1.2448,             0.00094062,             0.00094062,             0.00094062
                     13,                  1.185,                   0.82,                 1.1271,                0.57101,                0.80432,                0.76688,                0.46091,                 1.4316,                 1.1441,                 1.1592,             0.00090969,             0.00090969,             0.00090969
                     14,                 1.1613,                0.77622,                 1.1002,                0.75729,                0.78312,                0.82032,                 0.5225,                 1.3156,                 1.0013,                 1.1167,             0.00087875,             0.00087875,             0.00087875
                     15,                  1.132,                 0.7719,                 1.0937,                0.64203,                0.77698,                0.78709,                  0.486,                 1.3904,                0.99113,                 1.1343,             0.00084781,             0.00084781,             0.00084781
                     16,                 1.1111,                 0.7413,                 1.0912,                0.75609,                0.72999,                0.87274,                0.55868,                 1.3877,                 0.9797,                 1.1657,             0.00081688,             0.00081688,             0.00081688
                     17,                 1.0934,                0.73321,                 1.0863,                0.64606,                0.92969,                0.84333,                0.52191,                 1.3534,                  1.021,                 1.1564,             0.00078594,             0.00078594,             0.00078594
                     18,                 1.1089,                0.73293,                 1.0793,                0.71988,                0.73225,                0.80259,                0.51213,                 1.3618,                0.98928,                 1.1579,               0.000755,               0.000755,               0.000755
                     19,                 1.0712,                0.71191,                 1.0716,                0.63141,                0.91087,                0.81004,                 0.4756,                 1.4016,                 1.0045,                 1.2172,             0.00072406,             0.00072406,             0.00072406
                     20,                  1.056,                0.70326,                 1.0657,                0.74915,                0.76988,                0.77372,                 0.4884,                 1.4207,                  1.005,                 1.1596,             0.00069313,             0.00069313,             0.00069313
                     21,                 1.0404,                0.66586,                 1.0512,                0.76145,                0.82147,                0.81496,                0.53415,                 1.3023,                 1.1093,                 1.1638,             0.00066219,             0.00066219,             0.00066219
                     22,                 1.0425,                0.67377,                 1.0566,                0.69572,                 0.9246,                0.82032,                0.52017,                 1.3404,                0.89509,                 1.1574,             0.00063125,             0.00063125,             0.00063125
                     23,                  1.022,                0.64916,                 1.0391,                0.78676,                 0.7881,                0.80147,                0.49503,                  1.356,                0.90198,                 1.1625,             0.00060031,             0.00060031,             0.00060031
                     24,                 1.0181,                0.64286,                 1.0433,                0.75008,                0.80876,                0.78684,                0.50369,                 1.3121,                 1.0048,                 1.1631,             0.00056938,             0.00056938,             0.00056938
                     25,                 1.0135,                0.61248,                   1.04,                0.74916,                0.91435,                0.85357,                 0.5656,                   1.21,                0.89289,                 1.0966,             0.00053844,             0.00053844,             0.00053844
                     26,                0.98233,                0.60436,                 1.0282,                0.70714,                0.81601,                0.82037,                0.52794,                 1.4082,                0.89016,                 1.1622,              0.0005075,              0.0005075,              0.0005075
                     27,                0.97288,                0.60456,                 1.0225,                0.72735,                 0.7236,                0.77744,                0.51946,                 1.2791,                 1.0179,                 1.1196,             0.00047656,             0.00047656,             0.00047656
                     28,                0.97889,                0.59339,                 1.0284,                0.80291,                0.76489,                0.83182,                0.52388,                 1.3409,                 0.8794,                 1.1277,             0.00044563,             0.00044563,             0.00044563
                     29,                0.93167,                0.56967,                 1.0107,                0.68892,                 0.9441,                0.82608,                0.53912,                 1.2555,                0.83509,                 1.1215,             0.00041469,             0.00041469,             0.00041469
                     30,                0.94816,                0.57824,                   1.01,                0.83975,                0.88054,                0.86933,                0.57161,                 1.2378,                0.72322,                  1.143,             0.00038375,             0.00038375,             0.00038375
                     31,                0.92867,                0.53295,                 1.0077,                0.80508,                 0.8897,                0.90307,                0.58456,                 1.3182,                0.78082,                 1.1592,             0.00035281,             0.00035281,             0.00035281
                     32,                0.88219,                0.48723,                0.98921,                0.76014,                0.84365,                0.84853,                 0.5364,                 1.3631,                0.84988,                 1.1642,             0.00032188,             0.00032188,             0.00032188
                     33,                0.87764,                0.49029,                0.98865,                0.78269,                0.87458,                0.84207,                0.54739,                 1.3306,                0.78166,                 1.1524,             0.00029094,             0.00029094,             0.00029094
                     34,                0.85597,                0.47347,                0.97059,                0.76293,                0.81498,                0.83764,                0.54228,                 1.3102,                0.79147,                 1.1253,                0.00026,                0.00026,                0.00026
                     35,                0.85175,                0.46652,                0.96211,                 0.7803,                0.77619,                0.82344,                0.56003,                 1.2614,                0.81484,                 1.1126,             0.00022906,             0.00022906,             0.00022906
                     36,                0.83939,                0.46148,                0.96381,                0.75916,                0.81284,                0.84694,                0.57885,                  1.249,                0.80092,                 1.1023,             0.00019813,             0.00019813,             0.00019813
                     37,                0.81714,                 0.4428,                0.95233,                0.76014,                0.80882,                 0.8539,                0.57312,                 1.2711,                0.76449,                 1.1209,             0.00016719,             0.00016719,             0.00016719
                     38,                0.81805,                0.43705,                0.94808,                0.79809,                 0.8163,                0.87125,                0.57938,                 1.2601,                0.73004,                 1.1276,             0.00013625,             0.00013625,             0.00013625
                     39,                0.79463,                0.42631,                  0.937,                0.79888,                0.86327,                0.87171,                0.57978,                 1.2336,                0.71305,                 1.1191,             0.00010531,             0.00010531,             0.00010531
                     40,                0.79953,                 0.4301,                0.95579,                0.78371,                  0.853,                0.87302,                0.58835,                 1.2154,                0.71539,                 1.1077,             7.4375e-05,             7.4375e-05,             7.4375e-05
